id_student,code_module,code_presentation,gender,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,site_count,CMA,TMA,Exam,final_result
127582,AAA,2013J,F,A Level or Equivalent,40-50%,0-35,False,0,180,440.0,,69.6,,Pass
129955,AAA,2013J,M,A Level or Equivalent,50-60%,0-35,False,0,60,303.0,,81.0,,Withdrawn
132976,AAA,2013J,F,Lower Than A Level,80-90%,35-55,False,0,120,152.0,,67.4,,Pass
134143,AAA,2013J,F,A Level or Equivalent,90-100%,35-55,False,0,60,569.0,,84.4,,Distinction
135335,AAA,2013J,F,Lower Than A Level,20-30%,0-35,False,0,180,25.0,,,,Withdrawn
135400,AAA,2013J,F,Lower Than A Level,90-100%,35-55,True,0,60,109.0,,53.142857142857146,,Withdrawn
137873,AAA,2013J,M,A Level or Equivalent,40-50%,35-55,False,0,60,1409.0,,80.2,,Pass
141355,AAA,2013J,F,A Level or Equivalent,30-40%,0-35,False,0,240,585.0,,72.6,,Pass
141377,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,False,0,345,44.0,,48.833333333333336,,Withdrawn
142326,AAA,2013J,F,A Level or Equivalent,50-60%,35-55,False,0,60,631.0,,73.6,,Pass
144801,AAA,2013J,F,HE Qualification,80-90%,35-55,False,0,60,1620.0,,68.8,,Pass
145130,AAA,2013J,M,HE Qualification,60-70%,0-35,False,0,120,149.0,,54.4,,Pass
146188,AAA,2013J,F,A Level or Equivalent,20-30%,0-35,True,0,60,192.0,,50.0,,Fail
147756,AAA,2013J,M,Lower Than A Level,60-70%,0-35,False,0,120,228.0,,68.66666666666667,,Fail
147793,AAA,2013J,F,Lower Than A Level,80-90%,0-35,False,0,90,41.0,,52.0,,Withdrawn
148993,AAA,2013J,F,A Level or Equivalent,30-40%,35-55,True,0,60,554.0,,79.5,,Withdrawn
151358,AAA,2013J,F,A Level or Equivalent,80-90%,0-35,False,0,150,89.0,,50.0,,Pass
155550,AAA,2013J,M,A Level or Equivalent,0-10%,35-55,False,0,420,419.0,,67.0,,Pass
155854,AAA,2013J,F,A Level or Equivalent,20-30%,35-55,False,0,60,963.0,,79.8,,Pass
155984,AAA,2013J,F,Lower Than A Level,70-80%,0-35,False,0,60,245.0,,78.14285714285714,,Withdrawn
157568,AAA,2013J,F,A Level or Equivalent,90-100%,0-35,False,0,60,386.0,,70.6,,Pass
159954,AAA,2013J,M,A Level or Equivalent,40-50%,35-55,False,0,60,320.0,,68.2,,Withdrawn
164259,AAA,2013J,M,A Level or Equivalent,70-80%,0-35,False,0,60,239.0,,71.8,,Pass
167906,AAA,2013J,F,A Level or Equivalent,40-50%,35-55,False,0,60,515.0,,69.4,,Pass
168936,AAA,2013J,F,Lower Than A Level,10-20%,35-55,False,0,60,302.0,,66.4,,Pass
172112,AAA,2013J,M,HE Qualification,Unknown,35-55,False,0,60,697.0,,69.6,,Pass
172797,AAA,2013J,F,A Level or Equivalent,Unknown,35-55,False,0,60,415.0,,61.4,,Pass
174782,AAA,2013J,M,HE Qualification,90-100%,55<=,False,0,60,1643.0,,80.4,,Pass
175392,AAA,2013J,M,HE Qualification,Unknown,35-55,False,0,60,1311.0,,82.4,,Pass
175932,AAA,2013J,M,HE Qualification,70-80%,35-55,False,0,60,437.0,,78.2,,Pass
175991,AAA,2013J,F,A Level or Equivalent,80-90%,0-35,False,0,180,50.0,,37.6,,Fail
180753,AAA,2013J,M,A Level or Equivalent,30-40%,0-35,False,0,120,858.0,,53.4,,Pass
181316,AAA,2013J,F,A Level or Equivalent,80-90%,35-55,False,0,120,145.0,,76.0,,Withdrawn
183096,AAA,2013J,F,A Level or Equivalent,60-70%,0-35,False,0,60,547.0,,54.0,,Pass
183947,AAA,2013J,M,A Level or Equivalent,10-20%,0-35,False,0,180,368.0,,49.0,,Pass
184271,AAA,2013J,M,HE Qualification,80-90%,35-55,False,0,170,477.0,,59.8,,Pass
185439,AAA,2013J,M,HE Qualification,10-20%,0-35,False,0,120,99.0,,74.0,,Fail
186149,AAA,2013J,M,HE Qualification,30-40%,35-55,False,0,60,585.0,,76.0,,Pass
187100,AAA,2013J,M,A Level or Equivalent,50-60%,35-55,False,0,60,1922.0,,89.2,,Distinction
188278,AAA,2013J,M,A Level or Equivalent,70-80%,35-55,False,0,120,393.0,,71.66666666666667,,Withdrawn
189879,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,False,0,120,442.0,,79.4,,Pass
192183,AAA,2013J,F,Lower Than A Level,90-100%,0-35,False,0,60,804.0,,68.4,,Pass
195262,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,False,0,60,352.0,,50.0,,Withdrawn
200860,AAA,2013J,M,Lower Than A Level,50-60%,35-55,False,0,60,280.0,,54.4,,Pass
202635,AAA,2013J,F,A Level or Equivalent,30-40%,0-35,False,0,60,297.0,,66.66666666666667,,Withdrawn
205350,AAA,2013J,M,HE Qualification,80-90%,35-55,False,0,60,563.0,,72.2,,Pass
205719,AAA,2013J,M,A Level or Equivalent,40-50%,0-35,True,0,90,117.0,,56.666666666666664,,Fail
227499,AAA,2013J,F,A Level or Equivalent,10-20%,35-55,False,0,60,807.0,,83.6,,Distinction
227517,AAA,2013J,M,HE Qualification,Unknown,0-35,False,0,180,387.0,,62.6,,Fail
228082,AAA,2013J,M,HE Qualification,60-70%,0-35,False,0,60,136.0,,72.4,,Pass
228222,AAA,2013J,M,Lower Than A Level,50-60%,0-35,False,0,60,166.0,,61.8,,Pass
229179,AAA,2013J,M,A Level or Equivalent,20-30%,0-35,False,0,60,163.0,,66.0,,Pass
229361,AAA,2013J,M,A Level or Equivalent,50-60%,0-35,False,0,60,349.0,,78.0,,Pass
231554,AAA,2013J,M,A Level or Equivalent,40-50%,0-35,False,0,240,435.0,,67.75,,Pass
235507,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,False,0,240,71.0,,57.833333333333336,,Withdrawn
236284,AAA,2013J,M,Post Graduate Qualification,90-100%,0-35,False,0,60,210.0,,78.0,,Pass
238007,AAA,2013J,M,HE Qualification,90-100%,55<=,False,0,60,743.0,,79.2,,Pass
240712,AAA,2013J,M,HE Qualification,80-90%,0-35,False,0,80,107.0,,75.8,,Pass
240884,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,False,0,120,191.0,,58.4,,Pass
241649,AAA,2013J,M,HE Qualification,90-100%,35-55,False,0,60,573.0,,78.8,,Pass
241729,AAA,2013J,F,HE Qualification,60-70%,35-55,False,0,60,627.0,,58.6,,Fail
242793,AAA,2013J,M,HE Qualification,20-30%,35-55,False,0,60,263.0,,77.4,,Pass
246834,AAA,2013J,M,A Level or Equivalent,90-100%,35-55,False,0,60,351.0,,55.6,,Pass
248270,AAA,2013J,M,Lower Than A Level,20-30%,0-35,False,0,90,752.0,,78.4,,Pass
255548,AAA,2013J,M,Lower Than A Level,20-30%,35-55,False,0,60,815.0,,71.4,,Pass
256815,AAA,2013J,M,HE Qualification,10-20%,0-35,False,0,120,518.0,,76.8,,Pass
258392,AAA,2013J,F,Lower Than A Level,30-40%,0-35,False,0,60,299.0,,58.8,,Pass
258894,AAA,2013J,F,Lower Than A Level,70-80%,35-55,False,0,60,1370.0,,64.8,,Pass
260355,AAA,2013J,F,A Level or Equivalent,80-90%,35-55,False,0,60,134.0,,57.5,,Withdrawn
262011,AAA,2013J,M,A Level or Equivalent,20-30%,35-55,False,0,60,345.0,,71.0,,Pass
262934,AAA,2013J,F,A Level or Equivalent,30-40%,35-55,False,0,60,717.0,,76.6,,Pass
268073,AAA,2013J,M,A Level or Equivalent,10-20%,35-55,False,0,90,716.0,,74.6,,Fail
268733,AAA,2013J,M,A Level or Equivalent,30-40%,0-35,False,0,180,55.0,,43.0,,Withdrawn
271251,AAA,2013J,M,A Level or Equivalent,80-90%,35-55,False,0,60,639.0,,76.4,,Pass
277880,AAA,2013J,F,A Level or Equivalent,60-70%,0-35,False,0,60,470.0,,67.66666666666667,,Withdrawn
279572,AAA,2013J,M,Lower Than A Level,40-50%,0-35,False,0,60,297.0,,79.2,,Distinction
281022,AAA,2013J,F,A Level or Equivalent,30-40%,0-35,False,0,150,183.0,,73.4,,Pass
281250,AAA,2013J,M,Lower Than A Level,70-80%,35-55,False,0,60,77.0,,55.4,,Fail
281589,AAA,2013J,M,HE Qualification,30-40%,0-35,False,0,60,28.0,,,,Fail
282821,AAA,2013J,M,A Level or Equivalent,30-40%,35-55,False,0,60,478.0,,60.6,,Pass
286488,AAA,2013J,M,A Level or Equivalent,90-100%,35-55,False,0,60,284.0,,71.0,,Pass
287548,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,False,0,120,144.0,,67.8,,Pass
290201,AAA,2013J,M,A Level or Equivalent,20-30%,0-35,False,0,60,496.0,,70.4,,Pass
290757,AAA,2013J,M,A Level or Equivalent,30-40%,0-35,False,0,60,153.0,,75.0,,Pass
291334,AAA,2013J,M,A Level or Equivalent,90-100%,35-55,False,0,60,1879.0,,83.6,,Distinction
292923,AAA,2013J,F,A Level or Equivalent,90-100%,35-55,False,0,180,,,,,Withdrawn
293699,AAA,2013J,M,A Level or Equivalent,70-80%,0-35,False,0,120,114.0,,46.75,,Pass
294570,AAA,2013J,M,HE Qualification,90-100%,55<=,False,0,60,438.0,,78.2,,Pass
294594,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,False,0,60,256.0,,52.8,,Pass
295741,AAA,2013J,M,A Level or Equivalent,40-50%,35-55,False,0,240,300.0,79.0,65.4,,Fail
296332,AAA,2013J,M,Post Graduate Qualification,90-100%,55<=,False,0,60,511.0,,86.8,,Distinction
298696,AAA,2013J,F,HE Qualification,80-90%,0-35,False,0,60,201.0,,80.8,,Pass
300398,AAA,2013J,M,A Level or Equivalent,30-40%,35-55,False,0,60,580.0,,78.8,,Pass
302302,AAA,2013J,F,A Level or Equivalent,40-50%,0-35,False,0,60,165.0,,58.666666666666664,,Fail
305152,AAA,2013J,M,A Level or Equivalent,70-80%,0-35,False,0,60,44.0,,64.0,,Fail
305386,AAA,2013J,M,A Level or Equivalent,70-80%,0-35,True,0,120,368.0,,78.0,,Pass
305539,AAA,2013J,F,Lower Than A Level,80-90%,0-35,False,0,120,26.0,,,,Withdrawn
306107,AAA,2013J,M,A Level or Equivalent,50-60%,35-55,False,0,120,322.0,,58.2,,Pass
306466,AAA,2013J,M,A Level or Equivalent,90-100%,35-55,False,0,60,378.0,,82.0,,Pass
306897,AAA,2013J,F,A Level or Equivalent,10-20%,0-35,False,0,60,1112.0,,62.6,,Pass
307061,AAA,2013J,F,HE Qualification,10-20%,0-35,False,0,60,401.0,,81.2,,Pass
307866,AAA,2013J,M,A Level or Equivalent,70-80%,0-35,False,0,60,377.0,,60.0,,Pass
311917,AAA,2013J,M,A Level or Equivalent,60-70%,55<=,False,0,120,696.0,,59.2,,Pass
312537,AAA,2013J,M,Post Graduate Qualification,90-100%,55<=,False,0,60,1835.0,,87.8,,Distinction
312782,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,False,0,60,106.0,,61.8,,Pass
318933,AAA,2013J,F,HE Qualification,80-90%,0-35,False,0,120,460.0,,66.6,,Pass
319047,AAA,2013J,F,A Level or Equivalent,50-60%,0-35,False,0,60,1933.0,,78.4,,Pass
321942,AAA,2013J,M,HE Qualification,90-100%,55<=,False,0,60,2133.0,,80.4,,Pass
324002,AAA,2013J,M,HE Qualification,40-50%,35-55,False,0,60,610.0,,80.4,,Pass
324084,AAA,2013J,F,A Level or Equivalent,10-20%,35-55,False,0,60,494.0,,57.6,,Pass
324282,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,False,0,120,74.0,,61.2,,Pass
331358,AAA,2013J,F,HE Qualification,90-100%,35-55,False,0,60,527.0,,84.66666666666667,,Withdrawn
332789,AAA,2013J,F,A Level or Equivalent,60-70%,35-55,False,0,60,448.0,,74.4,,Pass
333059,AAA,2013J,M,A Level or Equivalent,20-30%,0-35,False,0,120,136.0,,65.8,,Pass
333323,AAA,2013J,M,HE Qualification,80-90%,0-35,False,0,60,178.0,,74.4,,Pass
334259,AAA,2013J,F,A Level or Equivalent,50-60%,0-35,False,0,150,122.0,,53.0,,Fail
334333,AAA,2013J,F,A Level or Equivalent,0-10%,0-35,True,0,240,100.0,,36.0,,Withdrawn
335764,AAA,2013J,F,A Level or Equivalent,20-30%,0-35,False,0,60,731.0,,86.875,,Withdrawn
336207,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,False,0,120,396.0,,68.2,,Pass
339972,AAA,2013J,M,A Level or Equivalent,80-90%,0-35,False,0,60,125.0,,49.8,,Pass
341872,AAA,2013J,M,Lower Than A Level,40-50%,0-35,False,0,180,113.0,,64.2,,Fail
342007,AAA,2013J,F,HE Qualification,70-80%,0-35,False,0,60,228.0,,82.33333333333333,,Withdrawn
342514,AAA,2013J,M,Lower Than A Level,50-60%,55<=,False,0,60,447.0,,77.2,,Pass
342972,AAA,2013J,M,HE Qualification,0-10%,0-35,False,0,60,323.0,,60.4,,Pass
343446,AAA,2013J,M,HE Qualification,70-80%,35-55,False,0,120,1217.0,,78.4,,Pass
344282,AAA,2013J,M,A Level or Equivalent,10-20%,0-35,False,0,60,53.0,,49.2,,Fail
345068,AAA,2013J,M,A Level or Equivalent,60-70%,0-35,True,0,180,213.0,,78.0,,Pass
345357,AAA,2013J,M,A Level or Equivalent,30-40%,0-35,False,0,60,737.0,,80.4,,Distinction
346025,AAA,2013J,M,A Level or Equivalent,50-60%,0-35,False,0,120,272.0,,82.4,,Pass
346843,AAA,2013J,F,HE Qualification,50-60%,35-55,False,0,120,40.0,,,,Fail
350188,AAA,2013J,M,HE Qualification,80-90%,35-55,False,0,60,316.0,,73.8,,Pass
354858,AAA,2013J,M,HE Qualification,90-100%,35-55,False,0,120,46.0,,,,Withdrawn
357668,AAA,2013J,M,A Level or Equivalent,10-20%,0-35,False,0,60,88.0,,57.0,,Fail
364177,AAA,2013J,M,Lower Than A Level,70-80%,35-55,False,0,60,242.0,,69.0,,Fail
365244,AAA,2013J,F,A Level or Equivalent,0-10%,0-35,False,0,120,403.0,,56.4,,Pass
365642,AAA,2013J,M,Lower Than A Level,10-20%,35-55,False,0,60,755.0,,70.0,,Pass
366483,AAA,2013J,M,HE Qualification,40-50%,0-35,False,0,60,488.0,,76.8,,Pass
368194,AAA,2013J,F,A Level or Equivalent,50-60%,0-35,True,0,120,169.0,,50.4,,Pass
368824,AAA,2013J,M,HE Qualification,50-60%,35-55,False,0,120,124.0,,55.6,,Fail
368963,AAA,2013J,M,Lower Than A Level,0-10%,0-35,False,0,180,225.0,,66.4,,Pass
376439,AAA,2013J,M,HE Qualification,Unknown,0-35,False,0,60,761.0,,87.0,,Distinction
376581,AAA,2013J,F,A Level or Equivalent,80-90%,35-55,False,0,60,627.0,,72.8,,Pass
380953,AAA,2013J,M,A Level or Equivalent,80-90%,0-35,False,0,60,374.0,,67.8,,Pass
383254,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,False,0,120,272.0,,75.6,,Pass
386924,AAA,2013J,M,Lower Than A Level,Unknown,0-35,False,0,120,96.0,,67.8,,Pass
386952,AAA,2013J,M,A Level or Equivalent,70-80%,0-35,False,0,120,357.0,,68.0,,Pass
388722,AAA,2013J,F,Lower Than A Level,80-90%,35-55,False,0,60,222.0,,63.8,,Pass
388885,AAA,2013J,M,A Level or Equivalent,90-100%,35-55,False,0,60,245.0,,60.6,,Pass
390890,AAA,2013J,M,A Level or Equivalent,0-10%,0-35,False,0,90,217.0,,68.625,,Withdrawn
392756,AAA,2013J,M,A Level or Equivalent,70-80%,0-35,False,0,120,167.0,,45.0,,Fail
392931,AAA,2013J,F,A Level or Equivalent,50-60%,35-55,False,0,120,958.0,,68.4,,Pass
393207,AAA,2013J,M,A Level or Equivalent,60-70%,0-35,False,0,60,237.0,,74.2,,Pass
396872,AAA,2013J,M,HE Qualification,50-60%,0-35,False,0,180,307.0,,61.4,,Pass
398552,AAA,2013J,M,Lower Than A Level,90-100%,0-35,False,0,240,323.0,,46.4,,Fail
401869,AAA,2013J,F,Lower Than A Level,80-90%,0-35,False,0,60,352.0,,65.0,,Pass
402470,AAA,2013J,M,Lower Than A Level,50-60%,35-55,False,0,60,346.0,,72.6,,Pass
404804,AAA,2013J,M,Lower Than A Level,20-30%,35-55,False,0,120,152.0,,43.8,,Pass
405088,AAA,2013J,M,A Level or Equivalent,20-30%,0-35,False,0,120,409.0,,77.2,,Pass
405961,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,True,0,240,,,,,Withdrawn
414117,AAA,2013J,M,A Level or Equivalent,50-60%,0-35,False,0,120,322.0,,76.4,,Pass
415969,AAA,2013J,M,HE Qualification,0-10%,35-55,False,0,90,297.0,,59.666666666666664,,Withdrawn
420087,AAA,2013J,M,A Level or Equivalent,40-50%,0-35,True,0,60,137.0,,76.0,,Fail
429958,AAA,2013J,F,A Level or Equivalent,70-80%,0-35,False,0,60,125.0,,58.4,,Pass
441018,AAA,2013J,F,A Level or Equivalent,70-80%,0-35,False,0,150,245.0,,59.8,,Pass
441888,AAA,2013J,M,A Level or Equivalent,20-30%,0-35,False,0,120,272.0,,70.6,,Pass
442442,AAA,2013J,M,HE Qualification,80-90%,0-35,False,0,120,295.0,,40.5,,Withdrawn
444677,AAA,2013J,M,HE Qualification,30-40%,0-35,False,0,60,507.0,,87.6,,Distinction
470588,AAA,2013J,M,HE Qualification,90-100%,35-55,False,0,60,81.0,,79.33333333333333,,Withdrawn
489455,AAA,2013J,F,A Level or Equivalent,20-30%,0-35,False,0,60,808.0,,70.6,,Pass
494424,AAA,2013J,F,A Level or Equivalent,80-90%,0-35,False,0,60,21.0,,,,Fail
495284,AAA,2013J,M,HE Qualification,80-90%,0-35,False,0,120,231.0,,66.6,,Pass
498857,AAA,2013J,M,HE Qualification,80-90%,35-55,False,0,60,342.0,,73.0,,Pass
508818,AAA,2013J,M,A Level or Equivalent,40-50%,0-35,False,0,120,274.0,,71.8,,Pass
512460,AAA,2013J,M,HE Qualification,90-100%,0-35,False,0,120,235.0,,72.4,,Pass
544103,AAA,2013J,M,HE Qualification,40-50%,0-35,False,0,120,714.0,,81.0,,Pass
550383,AAA,2013J,M,HE Qualification,60-70%,0-35,False,0,60,236.0,,72.0,,Pass
564450,AAA,2013J,M,HE Qualification,80-90%,0-35,False,0,120,88.0,,59.2,,Fail
568601,AAA,2013J,F,HE Qualification,30-40%,0-35,False,0,60,84.0,,81.5,,Withdrawn
572652,AAA,2013J,M,HE Qualification,70-80%,0-35,False,0,120,200.0,,73.2,,Pass
580389,AAA,2013J,M,HE Qualification,90-100%,0-35,False,0,120,316.0,,71.4,,Pass
581129,AAA,2013J,M,A Level or Equivalent,30-40%,0-35,False,0,120,76.0,,40.0,,Fail
588775,AAA,2013J,M,A Level or Equivalent,90-100%,0-35,False,0,120,1733.0,,82.8,,Pass
591774,AAA,2013J,M,Post Graduate Qualification,90-100%,35-55,False,0,60,209.0,,76.2,,Pass
603861,AAA,2013J,M,HE Qualification,Unknown,55<=,False,0,60,241.0,,63.0,,Withdrawn
606143,AAA,2013J,M,Post Graduate Qualification,90-100%,35-55,False,0,60,129.0,,66.0,,Fail
704156,AAA,2013J,M,HE Qualification,90-100%,55<=,False,0,120,742.0,,66.0,,Pass
705379,AAA,2013J,M,A Level or Equivalent,60-70%,55<=,False,0,120,1441.0,,80.8,,Distinction
721259,AAA,2013J,F,Lower Than A Level,50-60%,55<=,False,0,120,282.0,,65.0,,Withdrawn
749412,AAA,2013J,M,Lower Than A Level,70-80%,55<=,False,0,60,1177.0,,72.0,,Pass
760729,AAA,2013J,M,A Level or Equivalent,60-70%,55<=,False,0,60,1829.0,,81.2,,Distinction
905042,AAA,2013J,F,A Level or Equivalent,90-100%,35-55,False,0,60,875.0,,76.4,,Pass
949618,AAA,2013J,F,A Level or Equivalent,50-60%,35-55,False,0,60,559.0,,61.8,,Pass
958987,AAA,2013J,M,HE Qualification,40-50%,35-55,False,0,60,391.0,,77.2,,Pass
968578,AAA,2013J,F,A Level or Equivalent,40-50%,35-55,False,0,60,268.0,,72.0,,Pass
969076,AAA,2013J,M,A Level or Equivalent,80-90%,35-55,False,0,180,746.0,,59.75,,Withdrawn
971027,AAA,2013J,F,HE Qualification,90-100%,35-55,False,0,60,760.0,,68.0,,Pass
978739,AAA,2013J,M,HE Qualification,90-100%,35-55,False,0,60,1143.0,,56.6,,Pass
1035023,AAA,2013J,F,Lower Than A Level,30-40%,35-55,False,0,60,572.0,,70.0,,Pass
1105478,AAA,2013J,M,HE Qualification,80-90%,55<=,False,0,60,512.0,,82.6,,Pass
1352868,AAA,2013J,M,A Level or Equivalent,20-30%,35-55,False,0,60,174.0,,68.57142857142857,,Withdrawn
1401935,AAA,2013J,M,A Level or Equivalent,70-80%,35-55,False,0,60,85.0,,35.0,,Fail
1402638,AAA,2013J,F,HE Qualification,30-40%,35-55,False,0,60,310.0,,75.2,,Pass
1414443,AAA,2013J,F,A Level or Equivalent,10-20%,35-55,False,0,120,397.0,,59.0,,Fail
1456619,AAA,2013J,M,A Level or Equivalent,90-100%,35-55,False,0,60,138.0,,63.0,,Withdrawn
1465690,AAA,2013J,M,HE Qualification,40-50%,35-55,False,0,120,994.0,,81.8,,Pass
1472925,AAA,2013J,F,Lower Than A Level,40-50%,35-55,True,0,60,230.0,,61.9,,Fail
1488959,AAA,2013J,M,A Level or Equivalent,70-80%,35-55,False,0,60,721.0,,61.8,,Pass
1518989,AAA,2013J,F,Lower Than A Level,80-90%,35-55,False,0,60,1183.0,,73.0,,Pass
1618738,AAA,2013J,M,Lower Than A Level,90-100%,35-55,False,0,60,147.0,,79.6,,Pass
1620151,AAA,2013J,M,HE Qualification,90-100%,35-55,False,0,60,218.0,,77.5,,Fail
1626710,AAA,2013J,M,A Level or Equivalent,60-70%,35-55,False,0,60,1681.0,,84.6,,Distinction
1640609,AAA,2013J,M,A Level or Equivalent,30-40%,35-55,False,0,60,1433.0,,85.0,,Pass
1686521,AAA,2013J,F,Lower Than A Level,50-60%,35-55,False,0,60,201.0,,68.0,,Withdrawn
1729319,AAA,2013J,F,HE Qualification,40-50%,35-55,False,0,60,765.0,,78.2,,Pass
1746134,AAA,2013J,M,A Level or Equivalent,60-70%,35-55,False,0,60,534.0,,83.8,,Pass
1758449,AAA,2013J,M,Lower Than A Level,30-40%,35-55,False,0,75,650.0,,61.0,,Withdrawn
1763015,AAA,2013J,F,A Level or Equivalent,10-20%,35-55,False,0,60,30.0,,,,Withdrawn
1765788,AAA,2013J,M,HE Qualification,70-80%,55<=,False,0,60,1712.0,,66.2,,Pass
1801229,AAA,2013J,M,HE Qualification,Unknown,35-55,False,0,60,371.0,,76.8,,Pass
1801641,AAA,2013J,M,A Level or Equivalent,30-40%,35-55,False,0,60,134.0,,77.4,,Pass
1847830,AAA,2013J,M,Lower Than A Level,40-50%,35-55,False,0,60,1623.0,,71.0,,Pass
1860318,AAA,2013J,M,Lower Than A Level,40-50%,35-55,True,0,300,1328.0,,62.6,,Pass
1889511,AAA,2013J,M,A Level or Equivalent,50-60%,35-55,False,0,60,575.0,,72.0,,Pass
1889577,AAA,2013J,F,A Level or Equivalent,70-80%,35-55,True,0,60,307.0,,73.6,,Pass
1894188,AAA,2013J,F,A Level or Equivalent,80-90%,0-35,False,0,60,490.0,,70.4,,Pass
1938355,AAA,2013J,M,A Level or Equivalent,90-100%,35-55,False,0,60,607.0,,73.0,,Pass
1942396,AAA,2013J,F,Lower Than A Level,40-50%,35-55,True,0,120,164.0,,53.6,,Pass
